stage_index,operator,layer,resource,service_s,normalized_service,dominant
16,FFN_UP,0,LOCAL_FABRIC,2.5723174667344178e-06,1.0,True
16,FFN_UP,0,INTER_REGION_NOC,2.79e-07,0.10846250651720421,False
16,FFN_UP,0,EXTERNAL_BOUNDARY,7.791306096305501e-07,0.3028905334222467,False
16,FFN_UP,0,GPU_COMPUTE,0.0,0.0,False
17,SWIGLU,0,ARRAY,0.0,0.0,False
17,SWIGLU,0,MAC,0.0,0.0,False
17,SWIGLU,0,LOCAL_FABRIC,0.0,0.0,False
17,SWIGLU,0,INTER_REGION_NOC,0.0,0.0,False
17,SWIGLU,0,EXTERNAL_BOUNDARY,0.0,0.0,False
17,SWIGLU,0,GPU_COMPUTE,1.792e-08,1.0,True
18,FFN_DOWN,0,ARRAY,8.969216132881727e-06,1.0,True
18,FFN_DOWN,0,MAC,6.272e-06,0.699280729450419,False
18,FFN_DOWN,0,LOCAL_FABRIC,6.732161306941686e-06,0.7505852470497558,False
18,FFN_DOWN,0,INTER_REGION_NOC,0.0,0.0,False
18,FFN_DOWN,0,EXTERNAL_BOUNDARY,2.693510202135542e-06,0.3003060872020866,False
18,FFN_DOWN,0,GPU_COMPUTE,0.0,0.0,False
19,RESIDUAL_ADD,0,ARRAY,0.0,0.0,False
19,RESIDUAL_ADD,0,MAC,0.0,0.0,False
19,RESIDUAL_ADD,0,LOCAL_FABRIC,0.0,0.0,False
19,RESIDUAL_ADD,0,INTER_REGION_NOC,0.0,0.0,False
19,RESIDUAL_ADD,0,EXTERNAL_BOUNDARY,0.0,0.0,False
19,RESIDUAL_ADD,0,GPU_COMPUTE,5.12e-09,1.0,True
