model,context,batch,path,H,P,G,mean_TTFT,P95_TTFT,max_TTFT,mean_TPOT,P95_TPOT,mean_completion_latency,P95_completion_latency,max_completion_latency
Qwen2.5-32B,LC64K,8,HBM_RESIDENT_WAVE,64000,128,32,0.9639781113926875,1.7783685715939852,1.7783685715939852,0.0425161406063142,0.0425161406063142,2.281983735890438,3.0963741960917357,3.0963741960917357
Qwen2.5-32B,LC64K,8,HBM_BEST,64000,128,32,0.9639781113926875,1.7783685715939852,1.7783685715939852,0.0425161406063142,0.0425161406063142,2.281983735890438,3.0963741960917357,3.0963741960917357
Qwen2.5-32B,LC64K,8,M3D_GPU,64000,128,32,0.27467196552179995,0.27467196552179995,0.27467196552179995,0.06052825901445462,0.06052825901445462,2.151057841036719,2.151057841036719,2.151057841036719
Qwen2.5-32B,LC64K,8,M3D_NMP_UNIFORM,64000,128,32,0.2421386648012358,0.2421386648012358,0.2421386648012358,0.02798619675633061,0.02798619675633061,1.109711848776751,1.109711848776751,1.109711848776751
Qwen2.5-32B,LC64K,8,M3D_NMP_CPA,64000,128,32,0.23880738836755244,0.23880738836755244,0.23880738836755244,0.024654783840468767,0.024654783840468767,1.003106635469172,1.003106635469172,1.003106635469172
Qwen2.5-32B,LC64K,32,HBM_HOST_OFFLOAD,64000,128,32,2.198403813498583,2.198403813498583,2.198403813498583,1.0995246755632415,1.0995246755632415,36.2839810570207,36.2839810570207,36.2839810570207
Qwen2.5-32B,LC64K,32,HBM_RESIDENT_WAVE,64000,128,32,5.850320872600474,11.551054094009558,11.551054094009558,0.0425161406063142,0.0425161406063142,7.168326497098224,12.869059718507309,12.869059718507309
Qwen2.5-32B,LC64K,32,HBM_BEST,64000,128,32,5.850320872600474,11.551054094009558,11.551054094009558,0.0425161406063142,0.0425161406063142,7.168326497098224,12.869059718507309,12.869059718507309
Qwen2.5-32B,LC64K,32,M3D_GPU,64000,128,32,1.0393291827049702,1.0393291827049702,1.0393291827049702,0.1827543293258806,0.1827543293258806,6.704752748724864,6.704752748724864,6.704752748724864
Qwen2.5-32B,LC64K,32,M3D_NMP_UNIFORM,64000,128,32,0.9646739166745233,0.9646739166745233,0.9646739166745233,0.10806373173709012,0.10806373173709012,4.31465362588357,4.31465362588357,4.31465362588357
Qwen2.5-32B,LC64K,32,M3D_NMP_CPA,64000,128,32,0.9529476026379978,0.9529476026379978,0.9529476026379978,0.09633862058437292,0.09633862058437292,3.9394500689966194,3.9394500689966194,3.9394500689966194
Qwen2.5-32B,LC126K,1,HBM_HOST_OFFLOAD,126000,128,32,0.07306602265116953,0.07306602265116953,0.07306602265116953,0.031438325119186324,0.031438325119186324,1.047655417771448,1.047655417771448,1.047655417771448
Qwen2.5-32B,LC126K,1,HBM_RESIDENT_WAVE,126000,128,32,0.07306602265116953,0.07306602265116953,0.07306602265116953,0.031438325119186324,0.031438325119186324,1.047655417771448,1.047655417771448,1.047655417771448
Qwen2.5-32B,LC126K,1,HBM_BEST,126000,128,32,0.07306602265116953,0.07306602265116953,0.07306602265116953,0.031438325119186324,0.031438325119186324,1.047655417771448,1.047655417771448,1.047655417771448
Qwen2.5-32B,LC126K,1,M3D_GPU,126000,128,32,0.07142030411077044,0.07142030411077044,0.07142030411077044,0.029792432254953788,0.029792432254953788,0.994986846116007,0.994986846116007,0.994986846116007
Qwen2.5-32B,LC126K,1,M3D_NMP_UNIFORM,126000,128,32,0.04758330058028059,0.04758330058028059,0.04758330058028059,0.005954592480176492,0.005954592480176492,0.23217597332313347,0.23217597332313347,0.23217597332313347
Qwen2.5-32B,LC126K,1,M3D_NMP_CPA,126000,128,32,0.0473273410155012,0.0473273410155012,0.0473273410155012,0.005698625557035094,0.005698625557035094,0.22398503178260873,0.22398503178260873,0.22398503178260873
Qwen2.5-32B,LC126K,8,HBM_HOST_OFFLOAD,126000,128,32,0.8824219577460729,0.8824219577460729,0.8824219577460729,0.441291671076524,0.441291671076524,14.562541836383724,14.562541836383724,14.562541836383724
Qwen2.5-32B,LC126K,8,HBM_RESIDENT_WAVE,126000,128,32,2.5115875170365958,4.897767772714267,4.897767772714267,0.04215186629495838,0.04215186629495838,3.818298005031311,6.2044782607089815,6.2044782607089815
Qwen2.5-32B,LC126K,8,HBM_BEST,126000,128,32,2.5115875170365958,4.897767772714267,4.897767772714267,0.04215186629495838,0.04215186629495838,3.818298005031311,6.2044782607089815,6.2044782607089815
Qwen2.5-32B,LC126K,8,M3D_GPU,126000,128,32,0.43289830762413517,0.43289830762413517,0.43289830762413517,0.09987604203107597,0.09987604203107597,3.5290654566543167,3.5290654566543167,3.5290654566543167
Qwen2.5-32B,LC126K,8,M3D_NMP_UNIFORM,126000,128,32,0.3657891941181544,0.3657891941181544,0.3657891941181544,0.03275778708030843,0.03275778708030843,1.3812812982297555,1.3812812982297555,1.3812812982297555
Qwen2.5-32B,LC126K,8,M3D_NMP_CPA,126000,128,32,0.3627134927587559,0.3627134927587559,0.3627134927587559,0.02968222341426927,0.02968222341426927,1.2828632609165023,1.2828632609165023,1.2828632609165023
Qwen2.5-32B,LC126K,32,HBM_HOST_OFFLOAD,126000,128,32,4.696812306557141,4.696812306557141,4.696812306557141,2.348728922092521,2.348728922092521,77.50772119248693,77.50772119248693,77.50772119248693
