model,context,batch,path,H,P,G,request_id,wave,queue_delay,admission_delay,prefill_latency,first_decode_step,decode_duration,completion_time
Llama-3.1-8B,LC20K,8,HBM_BEST,20000,128,32,0,0,0.0,0.0,0.03582014708589715,0.011701090544414627,0.37460339988558955,0.4104235469714867
Llama-3.1-8B,LC20K,8,HBM_BEST,20000,128,32,1,0,0.0,0.0,0.03582014708589715,0.011701090544414627,0.37460339988558955,0.4104235469714867
Llama-3.1-8B,LC20K,8,HBM_BEST,20000,128,32,2,0,0.0,0.0,0.03582014708589715,0.011701090544414627,0.37460339988558955,0.4104235469714867
Llama-3.1-8B,LC20K,8,HBM_BEST,20000,128,32,3,0,0.0,0.0,0.03582014708589715,0.011701090544414627,0.37460339988558955,0.4104235469714867
Llama-3.1-8B,LC20K,8,HBM_BEST,20000,128,32,4,0,0.0,0.0,0.03582014708589715,0.011701090544414627,0.37460339988558955,0.4104235469714867
Llama-3.1-8B,LC20K,8,HBM_BEST,20000,128,32,5,0,0.0,0.0,0.03582014708589715,0.011701090544414627,0.37460339988558955,0.4104235469714867
Llama-3.1-8B,LC20K,8,HBM_BEST,20000,128,32,6,0,0.0,0.0,0.03582014708589715,0.011701090544414627,0.37460339988558955,0.4104235469714867
Llama-3.1-8B,LC20K,8,HBM_BEST,20000,128,32,7,0,0.0,0.0,0.03582014708589715,0.011701090544414627,0.37460339988558955,0.4104235469714867
Llama-3.1-8B,LC20K,8,M3D_GPU,20000,128,32,0,0,0.0,0.0,0.03582014708589715,0.011167189645334709,0.3575130017573914,0.39333314884328857
Llama-3.1-8B,LC20K,8,M3D_GPU,20000,128,32,1,0,0.0,0.0,0.03582014708589715,0.011167189645334709,0.3575130017573914,0.39333314884328857
Llama-3.1-8B,LC20K,8,M3D_GPU,20000,128,32,2,0,0.0,0.0,0.03582014708589715,0.011167189645334709,0.3575130017573914,0.39333314884328857
Llama-3.1-8B,LC20K,8,M3D_GPU,20000,128,32,3,0,0.0,0.0,0.03582014708589715,0.011167189645334709,0.3575130017573914,0.39333314884328857
Llama-3.1-8B,LC20K,8,M3D_GPU,20000,128,32,4,0,0.0,0.0,0.03582014708589715,0.011167189645334709,0.3575130017573914,0.39333314884328857
Llama-3.1-8B,LC20K,8,M3D_GPU,20000,128,32,5,0,0.0,0.0,0.03582014708589715,0.011167189645334709,0.3575130017573914,0.39333314884328857
Llama-3.1-8B,LC20K,8,M3D_GPU,20000,128,32,6,0,0.0,0.0,0.03582014708589715,0.011167189645334709,0.3575130017573914,0.39333314884328857
Llama-3.1-8B,LC20K,8,M3D_GPU,20000,128,32,7,0,0.0,0.0,0.03582014708589715,0.011167189645334709,0.3575130017573914,0.39333314884328857
