model,context,batch,path,H,P,G,prefill_gpu_dynamic_J,prefill_gpu_static_J,prefill_hbm_read_J,prefill_hbm_write_J,prefill_host_memory_J,prefill_c2c_J,decode_gpu_dynamic_J,decode_gpu_static_J,decode_hbm_read_J,decode_hbm_write_J,decode_host_memory_J,decode_c2c_J,admission_host_memory_J,admission_c2c_J,admission_hbm_write_J,admission_gpu_static_J,E2E_J,decode_array_read_J,decode_array_write_J,decode_read_peripheral_J,decode_row_select_J,decode_column_select_J,decode_write_driver_J,decode_router_J,decode_pipeline_register_J,decode_sram_read_J,decode_sram_write_J,decode_mac_J,decode_reduction_J,decode_interface_J,decode_miv_J,decode_feol_wire_J,decode_feol_unresolved_J,prefill_array_read_J,prefill_array_write_J,prefill_read_peripheral_J,prefill_row_select_J,prefill_column_select_J,prefill_write_driver_J,prefill_router_J,prefill_pipeline_register_J,prefill_sram_read_J,prefill_sram_write_J,prefill_mac_J,prefill_reduction_J,prefill_interface_J,prefill_miv_J,prefill_feol_wire_J,prefill_feol_unresolved_J
Qwen2.5-32B,LC20K,32,M3D_NMP_UNIFORM,20000,128,32,197.7711295422493,38.417284569497596,,,,,308.13926379749375,226.33484138651602,,,,,,,,,1462.280957166244,10.990514084406886,7.9993765888e-07,2.38535302971392,0.000268435456,0.000268435456,0.0002147483648,107.2956247638016,8.18968256315392,121.61238218299201,121.61238218299201,92.5397680128,3.30779590656,13.190893142016,0.14586134387379052,110.57377695617681,97.26281021744877,0.44860150828236794,0.00012161952579583999,0.09736332247040001,0.040811921407999996,0.040811921407999996,0.0326495371264,0.0,0.0,0.0,0.0,0.0,0.0,1.380289216512,0.006751993460337356,0.46344002514415295,0.0
Qwen2.5-32B,LC20K,32,M3D_NMP_CPA,20000,128,32,197.7711295422493,38.417284569497596,,,,,308.13926379749375,190.18696624449274,,,,,,,,,1300.2343206513774,10.990514084406886,7.9993765888e-07,2.38535302971392,0.000268435456,0.000268435456,0.0002147483648,79.2312380653568,8.18968256315392,98.113168984656,98.113168984656,92.5397680128,0.88092573696,13.190893142016,0.14586134387379052,77.6984417382125,81.7289936023631,0.44860150828236794,0.00012161952579583999,0.09736332247040001,0.040811921407999996,0.040811921407999996,0.0326495371264,0.0,0.0,0.0,0.0,0.0,0.0,1.380289216512,0.006751993460337356,0.4635137500673934,0.0
Qwen2.5-32B,LC64K,1,HBM_HOST_OFFLOAD,64000,128,32,10.197723805309995,2.0207755485073937,1.9922841599999999,0.020360047292416,0.0,0.0,241.54908261351423,61.97677152244176,62.041515098111994,0.00013391573811200004,0.0,0.0,0.0,0.0,0.0,0.0,379.7986467109159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-32B,LC64K,1,HBM_RESIDENT_WAVE,64000,128,32,10.197723805309995,2.0207755485073937,1.9922841599999999,0.020360047292416,0.0,0.0,241.54908261351423,61.97677152244176,62.041515098111994,0.00013391573811200004,0.0,0.0,0.0,0.0,0.0,0.0,379.7986467109159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-32B,LC64K,1,HBM_BEST,64000,128,32,10.197723805309995,2.0207755485073937,1.9922841599999999,0.020360047292416,0.0,0.0,241.54908261351423,61.97677152244176,62.041515098111994,0.00013391573811200004,0.0,0.0,0.0,0.0,0.0,0.0,379.7986467109159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-32B,LC64K,1,M3D_GPU,64000,128,32,10.197723805309995,1.9809203613110857,,,,,241.54908261351426,58.901434213922386,,,,,,,,,331.7128179698469,3.8114170775273473,2.499805184e-08,0.82722020130816,8.388608e-06,8.388608e-06,6.7108864e-06,0.0,0.0,0.0,0.0,0.0,0.0,10.340286070784,0.0505818284403019,3.450226457895258,0.0,0.122392656896,3.8006101811199996e-06,0.026563788799999998,0.0012753725439999999,0.0012753725439999999,0.0010202980352,0.0,0.0,0.0,0.0,0.0,0.0,0.337148850176,0.0016492392157682282,0.11257244791262658,0.0
Qwen2.5-32B,LC64K,1,M3D_NMP_UNIFORM,64000,128,32,10.197723805309995,1.9809203613110857,,,,,10.97656243847168,12.704224932823188,,,,,,,,,74.30887635600384,3.8114170775273473,2.499805184e-08,0.82722020130816,8.388608e-06,8.388608e-06,6.7108864e-06,7.142635470848,0.25819382546432,3.8234880036,3.8234880036,4.7373615103999995,0.10336862208,0.469887090688,0.0505818284403019,7.33834643249556,5.459383146807802,0.122392656896,3.8006101811199996e-06,0.026563788799999998,0.0012753725439999999,0.0012753725439999999,0.0010202980352,0.0,0.0,0.0,0.0,0.0,0.0,0.337148850176,0.0016492392157682282,0.11272071290680163,0.0
Qwen2.5-32B,LC64K,1,M3D_NMP_CPA,64000,128,32,10.197723805309995,1.9809203613110857,,,,,10.97656243847168,11.96755657403409,,,,,,,,,69.13541272026643,3.8114170775273473,2.499805184e-08,0.82722020130816,8.388608e-06,8.388608e-06,6.7108864e-06,6.3619509256192,0.25819382546432,2.839868738232,2.839868738232,4.7373615103999995,0.06335496192,0.469887090688,0.0505818284403019,6.0060525042312705,5.14281485208492,0.122392656896,3.8006101811199996e-06,0.026563788799999998,0.0012753725439999999,0.0012753725439999999,0.0010202980352,0.0,0.0,0.0,0.0,0.0,0.0,0.337148850176,0.0016492392157682282,0.11272439507046825,0.0
Qwen2.5-32B,LC64K,8,HBM_HOST_OFFLOAD,64000,128,32,81.58179044247996,15.847362890488686,3.9035232583679997,0.162880378339328,1.7174164930559999,0.5581603602431999,593.4986686575412,305.4497631638757,111.19509268070398,0.0,54.992845144064,17.8726746718208,0.0,0.0,0.0,0.0,1186.7801781409808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-32B,LC64K,8,HBM_RESIDENT_WAVE,64000,128,32,81.58179044247996,15.847362890488686,6.72682672128,0.162880378339328,0.0,0.0,784.7692389790517,201.35644191150408,201.56583090585602,0.0010713259048960003,0.0,0.0,2.147483648,0.6979321855999999,1.071325904896,11.927885708795696,1307.8560710021961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-32B,LC64K,8,HBM_BEST,64000,128,32,81.58179044247996,15.847362890488686,6.72682672128,0.162880378339328,0.0,0.0,784.7692389790517,201.35644191150408,201.56583090585602,0.0010713259048960003,0.0,0.0,2.147483648,0.6979321855999999,1.071325904896,11.927885708795696,1307.8560710021961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-32B,LC64K,8,M3D_GPU,64000,128,32,81.58179044247996,15.847362890488686,,,,,593.4986686575411,143.33091734622855,,,,,,,,,881.2962449329549,9.364781588388249,1.9998441472e-07,2.03250821234688,6.7108864e-05,6.7108864e-05,5.36870912e-05,0.0,0.0,0.0,0.0,0.0,0.0,25.406621089792,0.1242821791171571,8.478875176937796,0.0,0.31893641042329596,3.0404881448959997e-05,0.0692211417088,0.010202980351999999,0.010202980351999999,0.0081623842816,0.0,0.0,0.0,0.0,0.0,0.0,0.906076192768,0.00443227471348151,0.30298447535018963,0.0
Qwen2.5-32B,LC64K,8,M3D_NMP_UNIFORM,64000,128,32,81.58179044247996,15.847362890488686,,,,,87.81249950777344,66.27131391899088,,,,,,,,,468.1074182608682,9.364781588388249,1.9998441472e-07,2.03250821234688,6.7108864e-05,6.7108864e-05,5.36870912e-05,34.124177866752,2.0119128375296,30.525399618432,30.525399618432,37.898892083199996,0.82694897664,3.759096725504,0.1242821791171571,35.29156006619566,28.47875381924203,0.31893641042329596,3.0404881448959997e-05,0.0692211417088,0.010202980351999999,0.010202980351999999,0.0081623842816,0.0,0.0,0.0,0.0,0.0,0.0,0.906076192768,0.00443227471348151,0.303285035071372,0.0
Qwen2.5-32B,LC64K,8,M3D_NMP_CPA,64000,128,32,81.58179044247996,15.847362890488686,,,,,87.81249950777344,58.38252813423004,,,,,,,,,421.8683618133717,9.364781588388249,1.9998441472e-07,2.03250821234688,6.7108864e-05,6.7108864e-05,5.36870912e-05,27.430990590771202,2.0119128375296,21.927203815068,21.927203815068,37.898892083199996,0.49766989823999996,3.759096725504,0.1242821791171571,24.55012393903645,25.08870803606102,0.31893641042329596,3.0404881448959997e-05,0.0692211417088,0.010202980351999999,0.010202980351999999,0.0081623842816,0.0,0.0,0.0,0.0,0.0,0.0,0.906076192768,0.00443227471348151,0.30335424378473336,0.0
Qwen2.5-32B,LC64K,32,HBM_HOST_OFFLOAD,64000,128,32,326.3271617699198,81.34016648577605,5.1773225041919995,0.651521513357312,14.644395638784,4.7594285826048,1800.1829636656337,2603.674431733756,110.80371378585598,0.0,468.762729906176,152.3478872195072,0.0,0.0,0.0,0.0,5568.671722805563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
