architecture,bandwidth_TBps,point_kind,GPU_static_W,GPU_dynamic_W,array_read_W,read_peripheral_W,miv_effective_W,feol_route_effective_W,interface_W,total_memory_side_W,MAC_W,SRAM_W,NMP_router_W,NMP_NoC_W,reduction_W,NMP_unresolved_W,total_M3D_W,total_package_W
orthogonal_m3d_300um_sensitivity,1.8,ORIGINAL_COARSE_GRID,74.0,168.192,2.65392,0.5760000000000001,0.03522041441015626,2.405610912171477,7.2,12.870751326581633,0,0,0,0,0,0,12.870751326581633,255.06275132658163
orthogonal_m3d_300um_sensitivity,2.0,ORIGINAL_COARSE_GRID,74.0,186.88,2.9488,0.64,0.03913379378906251,2.672901013523863,8.0,14.300834807312926,0,0,0,0,0,0,14.300834807312926,275.1808348073129
orthogonal_m3d_300um_sensitivity,2.2,ORIGINAL_COARSE_GRID,74.0,205.56799999999998,3.24368,0.7040000000000001,0.043047173167968765,2.9401911148762494,8.8,15.73091828804422,0,0,0,0,0,0,15.730918288044219,295.2989182880442
orthogonal_m3d_300um_sensitivity,2.4,ORIGINAL_COARSE_GRID,74.0,224.25599999999997,3.53856,0.768,0.04696055254687501,3.2074812162286355,9.6,17.16100176877551,0,0,0,0,0,0,17.16100176877551,315.4170017687755
orthogonal_m3d_300um_sensitivity,2.6,ORIGINAL_COARSE_GRID,74.0,242.94399999999996,3.83344,0.8320000000000001,0.05087393192578126,3.474771317581022,10.4,18.591085249506804,0,0,0,0,0,0,18.591085249506804,335.5350852495068
orthogonal_m3d_300um_sensitivity,2.8,ORIGINAL_COARSE_GRID,74.0,261.632,4.1283199999999995,0.8959999999999999,0.05478731130468751,3.7420614189334076,11.2,20.021168730238095,0,0,0,0,0,0,20.0211687302381,355.6531687302381
orthogonal_m3d_300um_sensitivity,3.0,ORIGINAL_COARSE_GRID,74.0,280.32,4.4232,0.96,0.058700690683593765,4.009351520285795,12.0,21.45125221096939,0,0,0,0,0,0,21.45125221096939,375.7712522109694
orthogonal_m3d_300um_sensitivity,3.2,ORIGINAL_COARSE_GRID,74.0,299.008,4.71808,1.024,0.06261407006250001,4.276641621638181,12.8,22.881335691700684,0,0,0,0,0,0,22.88133569170068,395.88933569170064
orthogonal_m3d_300um_sensitivity,3.4,ORIGINAL_COARSE_GRID,74.0,317.69599999999997,5.01296,1.088,0.06652744944140626,4.543931722990567,13.6,24.31141917243197,0,0,0,0,0,0,24.31141917243197,416.0074191724319
orthogonal_m3d_300um_sensitivity,3.6,ORIGINAL_COARSE_GRID,74.0,336.384,5.30784,1.1520000000000001,0.07044082882031252,4.811221824342954,14.4,25.741502653163266,0,0,0,0,0,0,25.741502653163266,436.12550265316327
orthogonal_m3d_300um_sensitivity,3.8,ORIGINAL_COARSE_GRID,74.0,355.072,5.60272,1.216,0.07435420819921877,5.078511925695339,15.2,27.171586133894557,0,0,0,0,0,0,27.171586133894557,456.24358613389455
orthogonal_m3d_300um_sensitivity,4.0,ORIGINAL_COARSE_GRID,74.0,373.76,5.8976,1.28,0.07826758757812502,5.345802027047726,16.0,28.601669614625852,0,0,0,0,0,0,28.601669614625852,476.36166961462584
orthogonal_m3d_300um_sensitivity,4.2,ORIGINAL_COARSE_GRID,74.0,392.448,6.19248,1.344,0.08218096695703127,5.613092128400113,16.8,30.031753095357146,0,0,0,0,0,0,30.031753095357143,496.4797530953571
orthogonal_m3d_300um_sensitivity,4.4,ORIGINAL_COARSE_GRID,74.0,411.13599999999997,6.48736,1.4080000000000001,0.08609434633593753,5.880382229752499,17.6,31.46183657608844,0,0,0,0,0,0,31.461836576088437,516.5978365760884
orthogonal_m3d_300um_sensitivity,4.6,ORIGINAL_COARSE_GRID,74.0,429.824,6.782239999999999,1.472,0.09000772571484376,6.147672331104884,18.4,32.89192005681973,0,0,0,0,0,0,32.89192005681973,536.7159200568198
orthogonal_m3d_300um_sensitivity,4.8,ORIGINAL_COARSE_GRID,74.0,448.51199999999994,7.07712,1.536,0.09392110509375003,6.414962432457271,19.2,34.32200353755102,0,0,0,0,0,0,34.32200353755102,556.834003537551
orthogonal_m3d_300um_sensitivity,5.0,ORIGINAL_COARSE_GRID,74.0,467.20000000000005,7.372,1.6,0.09783448447265627,6.682252533809657,20.0,35.75208701828232,0,0,0,0,0,0,35.75208701828231,576.9520870182823
orthogonal_m3d_300um_sensitivity,5.2,ORIGINAL_COARSE_GRID,74.0,485.8879999999999,7.66688,1.6640000000000001,0.10174786385156252,6.949542635162044,20.8,37.18217049901361,0,0,0,0,0,0,37.18217049901361,597.0701704990136
orthogonal_m3d_300um_sensitivity,5.4,ORIGINAL_COARSE_GRID,74.0,504.576,7.96176,1.7280000000000002,0.10566124323046878,7.21683273651443,21.6,38.6122539797449,0,0,0,0,0,0,38.6122539797449,617.1882539797449
orthogonal_m3d_300um_sensitivity,5.6,ORIGINAL_COARSE_GRID,74.0,523.264,8.256639999999999,1.7919999999999998,0.10957462260937502,7.484122837866815,22.4,40.04233746047619,0,0,0,0,0,0,40.0423374604762,637.3063374604762
orthogonal_m3d_300um_sensitivity,5.8,ORIGINAL_COARSE_GRID,74.0,541.952,8.55152,1.8559999999999999,0.11348800198828128,7.751412939219202,23.2,41.47242094120748,0,0,0,0,0,0,41.47242094120748,657.4244209412075
orthogonal_m3d_300um_sensitivity,6.0,ORIGINAL_COARSE_GRID,74.0,560.64,8.8464,1.92,0.11740138136718753,8.01870304057159,24.0,42.90250442193878,0,0,0,0,0,0,42.90250442193878,677.5425044219388
orthogonal_m3d_300um_sensitivity,6.2,ORIGINAL_COARSE_GRID,74.0,579.328,9.14128,1.9840000000000002,0.12131476074609378,8.285993141923976,24.8,44.33258790267007,0,0,0,0,0,0,44.33258790267007,697.66058790267
orthogonal_m3d_300um_sensitivity,6.4,ORIGINAL_COARSE_GRID,74.0,598.016,9.43616,2.048,0.12522814012500003,8.553283243276361,25.6,45.76267138340137,0,0,0,0,0,0,45.76267138340136,717.7786713834013
orthogonal_m3d_300um_sensitivity,6.6,ORIGINAL_COARSE_GRID,74.0,616.704,9.731039999999998,2.112,0.1291415195039063,8.820573344628746,26.4,47.19275486413265,0,0,0,0,0,0,47.19275486413265,737.8967548641326
orthogonal_m3d_300um_sensitivity,6.7,ORIGINAL_COARSE_GRID,74.0,626.048,9.87848,2.144,0.1310982091933594,8.954218395304942,26.8,47.9077966044983,0,0,0,0,0,0,47.9077966044983,747.9557966044983
orthogonal_m3d_300um_sensitivity,3.436175123646087,85C_LOCAL_REFINEMENT,74.0,321.07620355349036,5.06629660230379,1.099576039566748,0.06723528435593618,4.592277985319556,13.744700494584349,24.57008640613038,0,0,0,0,0,0,24.57008640613038,419.64628995962073
