model,context,batch,H,P,G,feol_frequency_ghz,t_prefill,t_decode,t_e2e,e_prefill,e_decode,e_e2e,tokens_per_s,tokens_per_j,tmax_c,thermal_feasible,dominant_bottleneck,bottleneck_definition,source,ARRAY_service_s,LOCAL_FABRIC_service_s,MAC_service_s,INTER_REGION_NOC_service_s,EXTERNAL_BOUNDARY_service_s,GPU_COMPUTE_service_s,normalized_throughput,normalized_energy_efficiency,noc_service_s,GPU_power_W,local_array_bytes,boundary_bytes,event_conservation,energy_conservation,elapsed_s,reduction_service_s
Llama-3.1-8B,LC20K,8,20000,128,32,2.5,0.03582014708589715,0.16812783526579334,0.20394798235169048,16.616630457154645,80.48886653047477,97.10549698762941,1255.222027931369,2.636308014906846,83.12086726378226,True,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.05106215995406897,0.03053474108641318,0.03324161279999995,0.014978231824880669,0.08520672839872499,0.013670837119999979,1.2918314302763239,1.064847513648381,0.012881079824880666,234.81278354122526,1156237492224.0,289352581120.0,PASS,PASS,231.10398390000046,0.002097152000000003
Llama-3.1-8B,LC20K,8,20000,128,32,3.0,0.03582014708589715,0.16389773317210318,0.19971788025800033,16.616630457154645,80.04132172896236,96.657952186117,1281.808116876131,2.648514625129512,84.35898393098506,True,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.05106215995406897,0.02546618403823027,0.027701344000000044,0.012501953583200706,0.08520672839872499,0.013670837119999979,1.319192920548739,1.0697779612562415,0.010754326916534033,238.96326493705743,1156237492224.0,289352581120.0,PASS,PASS,228.7713608000049,0.0017476266666666736
Llama-3.1-8B,LC20K,32,20000,128,32,1.0,0.1432805883435886,0.8853698555979154,1.0286504439415038,66.1446017456485,346.12123777383664,412.26583951948516,995.4790823560191,2.4838342201563903,71.72686479470008,True,EXTERNAL_BOUNDARY,LARGEST_SERVICE_SUM; NOMINAL_STAGE_CLASSIFICATION_NOT_STORED,FROZEN_V3_NOMINAL,0.08104404272189732,0.28378642052463465,0.3036846080000005,0.15495187199999985,0.340475963994624,0.054683348479999914,1.0,1.0,,,,,,,,
Llama-3.1-8B,LC20K,32,20000,128,32,1.25,0.1432805883435886,0.7874068801839229,0.9306874685275115,66.1446017456485,335.7567549750363,401.9013567206848,1100.2619403698677,2.547888885858288,76.2963579753764,True,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.08104404272189732,0.22705399762463485,0.24294768639999947,0.12398575758032934,0.340475963994624,0.054683348479999914,1.1052587240365281,1.0257886235651688,0.10677600398032935,211.34756888859016,3184055549952.0,1157410324480.0,PASS,PASS,654.7303969000059,0.01720975359999999
Llama-3.1-8B,LC20K,32,20000,128,32,1.5,0.1432805883435886,0.7220986239997579,0.8653792123433465,66.1446017456485,328.84714147075164,394.99174321640015,1183.2962768161797,2.592459254114057,80.01872216352774,True,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.08104404272189732,0.189232382357968,0.2024564053333332,0.10334168130054888,0.340475963994624,0.054683348479999914,1.1886701567004803,1.0437328035326074,0.08900021996721554,223.76959811994806,3184055549952.0,1157410324480.0,PASS,PASS,658.9294213000103,0.014341461333333347
Llama-3.1-8B,LC20K,32,20000,128,32,2.0,0.1432805883435886,0.6404727362419834,0.783753324585572,66.1446017456485,320.2111225459791,386.3557242916276,1306.5335327814578,2.6504072170212445,85.80576294076508,False,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.08104404272189732,0.14195539631660187,0.15184230400000026,0.07753658595082329,0.340475963994624,0.054683348479999914,1.312467088398543,1.0670628480407869,0.06678048995082328,242.85718095352394,3184055549952.0,1157410324480.0,PASS,PASS,657.8635670999938,0.010756096000000007
Llama-3.1-8B,LC20K,32,20000,128,32,2.5,0.1432805883435886,0.5943595829347316,0.7376401712783202,66.1446017456485,315.33235092607185,381.47695267172037,1388.2107291220627,2.684303711740096,89.69518122027773,False,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.08104404272189732,0.11358922133801706,0.12147384319999974,0.062053528740988004,0.340475963994624,0.054683348479999914,1.3945152175739928,1.0807096906697273,0.053448651940987975,255.9578985929925,3184055549952.0,1157410324480.0,PASS,PASS,680.6178964999999,0.008604876800000029
Llama-3.1-8B,LC20K,32,20000,128,32,3.0,0.1432805883435886,0.5645297517281748,0.7078103400717634,66.1446017456485,312.17635478441815,378.32095653006667,1446.715231507043,2.7066964764311665,92.57657970105237,False,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.08104404272189732,0.09467844422968374,0.1012282026666666,0.05173149060109751,0.340475963994624,0.054683348479999914,1.4532854151822805,1.0897250929495383,0.04456075993443088,265.57257945810704,3184055549952.0,1157410324480.0,PASS,PASS,705.9488203999936,0.007170730666666632
Llama-3.1-8B,LC64K,1,64000,128,32,1.0,0.008695789837165714,0.05294960591644247,0.06164539575360818,4.1313259257180635,17.634128597390298,21.76545452310836,519.0979733166365,1.4702196991119865,63.21045535262681,True,ARRAY,LARGEST_SERVICE_SUM; NOMINAL_STAGE_CLASSIFICATION_NOT_STORED,FROZEN_V3_NOMINAL,0.03002180035104851,0.025019224394600543,0.016476000000000057,0.006308096000000005,0.012470639072600872,0.002910347973333342,1.0,1.0,,,,,,,,
Llama-3.1-8B,LC64K,1,64000,128,32,1.25,0.008695789837165714,0.05070128088130013,0.059397070718465846,4.1313259257180635,17.39625580867224,21.527581734390303,538.7471067668591,1.486465149445003,64.47886876298622,True,ARRAY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.03002180035104851,0.02004162972342484,0.013180799999999993,0.005070746371446441,0.012470639072600872,0.002910347973333342,1.0378524564923262,1.011049675325959,0.0033930247714464303,151.2864562253465,749339934720.0,41936240640.0,PASS,PASS,30.777994600008242,0.0016777216000000111
