model,context,batch,path,Tmax_C,thermal_metric_type,thermal_phase,provenance,thermal_status,GPU_power_W,memory_power_W,package_power_W,energy_denominator,decode_J,decode_s,power_conservation,operator_reused,physical_signature,hotspot_component,hotspot_x,hotspot_y,hotspot_z,hotspot_die,thermal_solve_s,iterations,relative_residual,max_temperature_update_K
Llama-3.1-70B,LC64K,8,M3D_NMP_UNIFORM,74.98163991952566,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,171.26593334200513,257.50529918502906,428.77123252702575,DECODE_ONLY,689.9469326326042,1.6091259867558916,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011195348,-0.0002500000000000002,0.00037179,,7.366368199989665,2230,0.0005393859168027401,0.006730709585479907
Llama-3.1-70B,LC64K,8,M3D_NMP_CPA,74.73483781415365,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,181.39687511182117,242.34493106177518,423.74180617358724,DECODE_ONLY,617.5334335759138,1.4573342176271509,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,-0.0007500000000000007,0.00037179,,7.301314799988177,2210,0.0005746747149377551,0.009112192564109544
Llama-3.1-70B,LC126K,1,HBM_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-70B,LC126K,1,M3D_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-70B,LC126K,1,M3D_NMP_UNIFORM,68.55763757036681,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,140.19242580866475,241.54636215873182,381.7387879673891,DECODE_ONLY,134.7243815871396,0.35292295630866344,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.010595348000000001,0.0012500000000000011,0.00037179,,7.201704100007191,2180,0.0005521446211090998,0.009151127636472009
Llama-3.1-70B,LC126K,1,M3D_NMP_CPA,66.63203130414917,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,144.8363902832924,218.77730029482015,363.6136905781054,DECODE_ONLY,119.91458544972818,0.32978567242359563,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.010195348000000003,0.0002500000000000002,0.00037179,,7.036590099975001,2130,0.0006309439090739918,0.009907748795178983
Llama-3.1-70B,LC126K,8,HBM_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-70B,LC126K,8,M3D_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-70B,LC126K,8,M3D_NMP_UNIFORM,75.12978254918568,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,171.44802609738963,258.61002197591915,430.05804807330003,DECODE_ONLY,824.768803804239,1.9178080900921701,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011195348,-0.0002500000000000002,0.00037179,,7.333349500026088,2230,0.0005406619950891194,0.0067491341776199035
Llama-3.1-70B,LC126K,8,M3D_NMP_CPA,74.91223289948266,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,179.47864349713086,246.39435779278097,425.8730012899027,DECODE_ONLY,754.5599759422377,1.7717957552058414,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,0.0007500000000000007,0.00037179,,7.301726500038058,2210,0.0005754185106517114,0.009361469016899682
