model,context_label,H,P,G,B,path,E2E_time_s,total_average_power_W,GPU_power_W,memory_power_W,NMP_power_W,mapped_package_power_W,excluded_external_power_W,thermal_operator_reused,thermal_convention,physical_signature,Tmax_C,hotspot_component,hotspot_x,hotspot_y,hotspot_z,hotspot_die,thermal_solve_s,iterations,relative_residual,max_temperature_update_K,thermal_status,power_columns,thermal_boundary,hotspot_coordinate_units
Llama-3.1-70B,LC20K,20000,512,256,8,M3D_NMP_UNIFORM,12.573145731699453,422.0266798560987,193.71163678007503,228.31504307602358,186.36644041349288,422.0266798560891,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,74.9269360781654,gpu/FEOL,0.011095348000000001,0.0007500000000000007,0.00037179,,7.391783199971542,2210,0.0005803900662857299,0.008837349120579738,THERMAL_FEASIBLE,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
Llama-3.1-70B,LC20K,20000,512,256,8,M3D_NMP_CPA,10.84396568640009,422.9696639854378,212.80086847783323,210.16879550760444,166.60189337001273,422.96966398542725,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,75.97965963359508,gpu/FEOL,0.01595,-0.0002500000000000002,0.00037179,,7.533602700044867,2250,0.0005240210848142644,0.008587870114954849,THERMAL_FEASIBLE,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
Llama-3.1-70B,LC64K,64000,512,512,1,HBM_GPU,22.717496309589272,482.11466163451456,415.1703789337474,52.23804902441553,0.0,467.40842795816167,14.70623367635168,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,d5c3af03d38021a6c43869ae442195160499a566aa85d7001aedea0df3252a51,89.93657601835804,gpu/FEOL,-0.012258,0.0002479166666666671,0.00037179,,0.9587348999921232,910,0.00011047124620051187,0.009697015847989404,THERMAL_CLOSURE_REQUIRED,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + local HBM; external Grace and off-package link energy excluded; no separate GPU-side C2C mapper,m
Llama-3.1-70B,LC64K,64000,512,512,1,M3D_GPU,24.38157075364081,415.99713025735105,391.88504943682597,24.112080820525062,0.0,415.9971302573331,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,85.07539812591676,gpu/FEOL,0.01595,0.002250000000000001,0.00037179,,7.743472200003453,2290,0.000573466398706034,0.00815725656984138,THERMAL_CLOSURE_REQUIRED,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
Llama-3.1-70B,LC64K,64000,512,512,1,M3D_NMP_UNIFORM,5.260183860314775,378.4414793559828,149.79961260391732,228.6418667520655,165.75858624089412,378.44147935597505,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,68.49900357436746,gpu/FEOL,0.010195348000000003,0.0012500000000000011,0.00037179,,7.354816999984905,2160,0.0006076751166304221,0.009980734786087134,THERMAL_FEASIBLE,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
Llama-3.1-70B,LC64K,64000,512,512,1,M3D_NMP_CPA,4.842501056645664,362.840727461003,156.33759666196673,206.5031307990363,140.93880823757766,362.840727460995,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,66.91524457130754,gpu/FEOL,0.010595348000000001,-0.0012500000000000011,0.00037179,,7.375022199994419,2160,0.0005924821031421607,0.00963609449549534,THERMAL_FEASIBLE,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
Llama-3.1-70B,LC64K,64000,512,512,8,HBM_GPU,204.1318748070512,173.03611648608356,149.70390896011057,5.799867500836696,0.0,155.50377646094685,17.532340025136286,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,d5c3af03d38021a6c43869ae442195160499a566aa85d7001aedea0df3252a51,43.39734354635499,gpu/FEOL,-0.01127,0.00124375,0.00037179,,0.9279836000059731,870,6.239183754942193e-05,0.009234614611557768,THERMAL_FEASIBLE,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + local HBM; external Grace and off-package link energy excluded; no separate GPU-side C2C mapper,m
Llama-3.1-70B,LC64K,64000,512,512,8,M3D_GPU,48.34466179374276,417.10923445905127,393.65433809798304,23.45489636106822,0.0,417.1092344590333,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,85.28877851697223,gpu/FEOL,0.01595,0.002250000000000001,0.00037179,,8.086094099970069,2290,0.0005763830843171352,0.008168650824241182,THERMAL_CLOSURE_REQUIRED,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
Llama-3.1-70B,LC64K,64000,512,512,8,M3D_NMP_UNIFORM,27.57389909732776,430.70492907324143,189.6803823586571,241.0245467145845,194.81333718677982,430.7049290732319,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,75.80084250499982,gpu/FEOL,0.011095348000000001,0.0007500000000000007,0.00037179,,7.556774900003802,2210,0.0005875548300324878,0.008846386624789038,THERMAL_FEASIBLE,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
Llama-3.1-70B,LC64K,64000,512,512,8,M3D_NMP_CPA,25.168690361838657,425.93017382977746,200.73520730877166,225.19496652100574,177.6065714692297,425.93017382976745,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,75.62399956427004,gpu/FEOL,0.01595,0.0002500000000000002,0.00037179,,7.349303999973927,2210,0.0005904173013936988,0.009131048676248619,THERMAL_FEASIBLE,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
